,id,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
44,448104,Downtown,49.28063,-123.12502,Entire home/apt,158.0,30,269,1.91,2,91,4,23-104241
45,461370,Killarney,49.22834,-123.03047,Private room,153.0,2,51,0.37,5,365,4,23-119829
46,461386,Killarney,49.23034,-123.02971,Private room,153.0,2,44,0.31,5,363,4,23-119829
47,464172,Hastings-Sunrise,49.284812927246094,-123.05479431152344,Entire home/apt,108.0,1,14,0.11,1,154,9,23-157520
48,475296,Downtown Eastside,49.28241,-123.10381,Entire home/apt,1000.0,2,226,1.79,1,0,32,23-156695
49,496298,Downtown,49.28062,-123.11815,Entire home/apt,127.0,31,165,1.18,1,129,7,nan
50,498112,Kensington-Cedar Cottage,49.25099,-123.07457,Entire home/apt,475.0,5,36,0.26,2,91,1,23-156712
51,507767,Downtown,49.27741,-123.12292,Entire home/apt,260.0,30,4,0.03,41,316,1,nan
52,540348,Kensington-Cedar Cottage,49.25759,-123.06393,Entire home/apt,486.0,1,92,0.73,1,347,31,23-156786
53,557357,Grandview-Woodland,49.27917,-123.06246,Entire home/apt,90.0,30,194,1.4,1,86,0,19-114782
54,622217,Downtown,49.27999,-123.1075,Entire home/apt,575.0,2,61,0.48,2,355,6,23-156527
55,625396,Kitsilano,49.270655316242745,-123.18291314738148,Entire home/apt,310.0,2,190,1.37,1,108,21,23-158379
56,648026,Grandview-Woodland,49.26775,-123.06862,Entire home/apt,88.0,30,66,0.48,1,49,2,20-154141
57,654744,West End,49.29178,-123.14175,Entire home/apt,150.0,30,75,0.59,1,166,6,19-104667
58,654763,Kensington-Cedar Cottage,49.2506,-123.07175,Entire home/apt,52.0,30,22,0.17,2,1,2,nan
59,659986,South Cambie,49.24413,-123.11955,Private room,100.0,31,27,0.2,1,0,0,86-13134
60,703179,Downtown,49.27945,-123.10875,Entire home/apt,,3,181,1.36,1,0,8,23-156717
