,neighbourhood,price,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm
89,Hastings-Sunrise,114.0,3,83,1.26,1,172,22
90,Kensington-Cedar Cottage,199.0,5,122,0.96,1,45,14
91,Kitsilano,300.0,6,16,0.14,2,102,1
92,Grandview-Woodland,179.0,3,246,1.94,1,114,23
93,Downtown,,90,99,0.78,1,0,0
94,Grandview-Woodland,520.0,3,14,0.11,1,337,3
95,Downtown,183.0,2,583,4.59,2,301,64
96,Kitsilano,150.0,30,43,0.34,2,225,4
97,Mount Pleasant,,5,7,0.06,1,0,0
98,Downtown,,90,7,0.07,33,0,0
99,Downtown Eastside,,1,54,0.54,1,0,0
100,West End,75.0,30,71,0.61,4,365,3
101,Downtown,110.0,30,122,0.96,3,275,7
102,West End,123.0,4,187,1.48,1,57,38
103,Downtown,250.0,30,1,0.08,1,180,0
104,Mount Pleasant,450.0,30,13,0.11,1,182,1
105,Downtown,,180,5,0.04,33,0,0
106,Riley Park,81.0,3,342,2.72,1,0,33
107,West End,70.0,30,18,0.15,33,42,5
108,Kensington-Cedar Cottage,183.0,2,189,1.51,1,311,28
109,Riley Park,110.0,3,338,2.71,1,148,40
110,Riley Park,80.0,30,143,1.23,1,118,5
111,Downtown Eastside,250.0,30,6,0.05,1,166,1
112,Kitsilano,130.0,30,3,0.15,1,365,2
113,Riley Park,150.0,2,357,2.92,1,166,36
114,Downtown,199.0,1,152,5.5,1,9,69
115,Riley Park,95.0,30,72,0.6,1,318,3
116,Mount Pleasant,395.0,2,88,1.22,1,9,30
117,Downtown Eastside,150.0,2,269,2.2,4,165,14
118,Strathcona,,4,36,0.3,1,0,5
119,Downtown,83.0,30,5,0.05,33,0,1
120,Downtown,82.0,90,37,0.3,1,75,1
121,Grandview-Woodland,,31,11,0.12,1,0,0
122,Shaughnessy,100.0,30,0,,1,364,0
123,Mount Pleasant,200.0,31,1,0.01,1,144,0
124,Kitsilano,110.0,2,346,2.84,1,78,32
125,Fairview,130.0,120,2,0.02,1,72,0
126,Kitsilano,594.0,5,43,0.47,1,49,5
127,Kitsilano,,2,6,0.12,1,0,0
128,Kitsilano,125.0,30,253,2.17,1,314,6
129,Downtown,135.0,30,139,1.16,2,195,5
130,Riley Park,,1,7,0.08,4,0,0
131,Downtown,110.0,30,95,0.78,3,350,4
132,Renfrew-Collingwood,85.0,31,46,0.39,5,194,2
133,Mount Pleasant,125.0,30,46,0.38,2,343,4
134,Renfrew-Collingwood,75.0,31,35,0.29,5,249,7
135,Kensington-Cedar Cottage,78.0,2,132,1.12,1,170,17
136,Fairview,,7,14,0.12,1,0,0
137,Kitsilano,200.0,30,135,1.16,1,365,2
138,Downtown,115.0,180,142,1.2,1,257,0
139,West Point Grey,99.0,28,66,0.57,1,80,7
140,Grandview-Woodland,180.0,3,40,0.34,1,73,0
141,Dunbar Southlands,750.0,7,23,0.21,1,217,3
142,West End,150.0,30,96,0.8,1,0,0
143,Kitsilano,219.0,3,94,0.81,1,16,0
144,Kensington-Cedar Cottage,160.0,3,183,1.55,1,163,3
145,Kitsilano,195.0,5,20,0.17,1,67,9
146,Fairview,133.0,30,1,0.1,1,0,1
147,Mount Pleasant,90.0,30,53,0.46,1,332,1
148,Killarney,163.0,30,16,0.14,1,365,0
149,Hastings-Sunrise,199.0,3,46,0.39,1,335,5
150,Fairview,106.0,30,8,0.07,3,255,2
151,South Cambie,112.0,2,710,6.08,1,112,73
152,Grandview-Woodland,,6,22,0.19,1,0,0
153,Downtown,124.0,1,408,5.54,1,0,62
154,West End,,30,19,0.16,33,0,0
155,West Point Grey,94.0,30,13,0.11,1,365,2
156,Kitsilano,295.0,30,102,0.88,1,226,5
157,Kensington-Cedar Cottage,,1,106,0.94,1,0,4
