,neighbourhood,price,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm
1217,Downtown,125.0,30,19,0.29,2,225,4
1218,Hastings-Sunrise,89.0,3,94,1.39,1,168,8
1219,Arbutus Ridge,799.0,2,174,2.57,1,0,35
1220,Kitsilano,187.0,30,1,0.06,1,180,0
1221,Downtown,140.0,30,7,0.11,12,297,1
1222,Arbutus Ridge,57.0,1,0,,2,77,0
1223,Fairview,100.0,30,11,0.18,30,272,1
1224,Hastings-Sunrise,120.0,30,20,0.3,4,89,3
1225,Kensington-Cedar Cottage,,3,1,0.02,3,0,0
1226,Kensington-Cedar Cottage,65.0,1,344,5.07,1,34,74
1227,Kensington-Cedar Cottage,121.0,2,405,5.97,1,329,86
1228,West End,,1,23,0.36,2,0,0
1229,Riley Park,500.0,3,9,1.44,1,32,9
1230,Grandview-Woodland,95.0,2,156,2.48,1,9,17
1231,Riley Park,100.0,30,3,0.05,1,255,0
1232,Kitsilano,181.0,3,218,3.29,1,261,53
1233,Marpole,90.0,2,182,2.69,2,355,26
1234,Fairview,100.0,30,15,0.23,30,244,3
1235,Dunbar Southlands,,2,50,0.74,2,0,0
1236,Hastings-Sunrise,98.0,30,42,0.63,1,263,4
1237,Downtown,145.0,29,32,0.48,2,166,6
1238,Downtown,122.0,1,297,4.68,1,65,75
1239,Dunbar Southlands,119.0,1,0,,3,99,0
1240,Dunbar Southlands,,2,8,0.12,1,0,0
1241,Oakridge,72.0,3,303,4.52,3,48,83
1242,Fairview,100.0,30,17,0.26,30,293,3
1243,Riley Park,300.0,4,3,0.26,1,184,3
1244,Downtown,210.0,30,4,0.09,1,341,0
1245,West End,,1,73,1.08,1,0,0
1246,Shaughnessy,486.0,14,56,0.86,1,57,4
1247,Downtown,194.0,2,206,3.09,1,48,51
1248,West End,350.0,3,84,1.4,1,130,24
1249,Kensington-Cedar Cottage,65.0,3,0,,1,0,0
1250,Downtown,,2,9,0.14,1,0,0
1251,Arbutus Ridge,200.0,30,7,0.1,1,171,0
1252,Downtown,139.0,1,310,4.63,1,89,90
1253,Riley Park,,2,1,0.01,1,0,0
1254,Oakridge,71.0,3,305,4.54,3,35,96
1255,Oakridge,65.0,30,23,0.38,20,82,0
1256,Hastings-Sunrise,120.0,30,16,0.24,4,89,3
1257,Hastings-Sunrise,119.0,30,32,0.49,4,89,6
1258,Kensington-Cedar Cottage,88.0,2,283,4.31,1,145,66
1259,Downtown,271.0,30,4,0.24,1,331,2
1260,Fairview,,4,3,0.05,1,0,0
1261,Grandview-Woodland,,5,14,0.21,1,0,3
1262,Marpole,65.0,2,50,0.74,3,31,15
1263,Oakridge,49.0,6,212,3.16,3,33,48
1264,Kensington-Cedar Cottage,,2,1,0.02,1,0,0
1265,Shaughnessy,,3,99,1.48,2,0,0
1266,Hastings-Sunrise,55.0,30,88,1.34,8,40,3
1267,Riley Park,,2,0,,1,0,0
1268,Downtown,,2,19,0.3,1,0,0
1269,Downtown,,2,10,0.15,1,0,0
1270,Downtown Eastside,218.0,3,70,1.08,1,45,17
1271,Arbutus Ridge,,4,28,0.42,1,0,0
1272,Renfrew-Collingwood,56.0,4,183,2.73,2,283,34
1273,Kitsilano,321.0,3,24,0.45,1,99,3
1274,West End,,3,2,0.1,1,0,0
1275,Kitsilano,115.0,3,188,2.85,1,17,35
1276,Fairview,100.0,30,11,0.17,30,277,3
1277,Fairview,115.0,30,10,0.16,30,278,4
1278,Downtown,150.0,30,13,0.2,8,222,5
1279,Mount Pleasant,89.0,60,54,0.83,1,134,0
1280,Downtown,,3,110,1.65,1,0,0
1281,Mount Pleasant,,2,13,0.19,1,0,0
1282,Sunset,,1,21,0.31,2,0,0
1283,Kitsilano,142.0,4,210,3.16,1,0,31
1284,Downtown,52.0,30,119,1.86,6,365,2
1285,Downtown,89.0,30,1,0.03,1,64,0
1286,Victoria-Fraserview,320.0,3,149,2.25,1,69,23
1287,Downtown,,30,9,0.14,1,0,0
1288,Grandview-Woodland,,3,3,0.05,1,0,0
1289,Downtown,331.0,2,188,2.82,1,0,17
1290,Strathcona,111.0,2,75,1.14,1,42,21
1291,Downtown Eastside,400.0,3,73,1.11,1,361,19
1292,Marpole,96.0,1,360,5.6,1,312,78
1293,Kensington-Cedar Cottage,,2,6,0.09,1,0,0
1294,Kitsilano,81.0,30,23,0.35,2,113,4
1295,Downtown Eastside,,2,21,0.32,1,0,0
1296,Riley Park,,1,24,0.36,1,0,0
1297,West End,49.0,30,18,0.43,6,29,5
1298,Kensington-Cedar Cottage,,2,47,0.71,1,0,0
1299,Kitsilano,348.0,5,9,0.14,1,23,4
1300,Kensington-Cedar Cottage,270.0,5,60,0.94,1,360,5
1301,Downtown,2113.0,3,0,,30,179,0
1302,Downtown,834.0,21,1,0.02,30,179,0
1303,Downtown,,2,9,0.14,1,0,1
1304,Downtown,,2,13,0.2,1,0,0
1305,Fairview,100.0,30,8,0.13,30,244,4
1306,Riley Park,375.0,1,15,0.23,1,6,5
1307,Oakridge,55.0,30,18,0.28,20,64,5
1308,Downtown,125.0,30,78,1.19,1,61,2
1309,Renfrew-Collingwood,150.0,1,82,1.26,2,285,15
1310,Grandview-Woodland,240.0,3,11,0.17,1,0,3
1311,Oakridge,40.0,30,14,0.21,20,108,3
1312,Kensington-Cedar Cottage,,75,0,,1,0,0
1313,Kitsilano,116.0,1,367,5.78,1,88,57
1314,Killarney,220.0,2,21,0.33,2,346,3
1315,Downtown Eastside,149.0,2,292,4.55,1,166,42
1316,Downtown,169.0,1,8,0.12,6,141,3
1317,Mount Pleasant,85.0,30,97,1.47,2,71,0
1318,Riley Park,,3,8,0.15,1,0,0
1319,West End,393.0,2,135,2.05,1,179,5
1320,Downtown,750.0,2,1,0.02,30,88,0
1321,Downtown,235.0,90,37,0.57,1,109,2
1322,Downtown,,2,52,0.8,1,0,0
1323,Kitsilano,,1,4,0.08,1,0,0
1324,Dunbar Southlands,,3,16,0.25,3,0,0
1325,Fairview,100.0,30,14,0.22,30,266,0
1326,Downtown Eastside,,2,44,0.67,1,0,1
1327,Hastings-Sunrise,209.0,1,223,3.38,1,0,52
1328,Hastings-Sunrise,58.0,30,82,1.25,8,101,3
1329,Strathcona,,30,0,,1,0,0
1330,Fairview,,30,8,0.12,1,0,0
1331,Fairview,189.0,13,52,0.94,1,333,12
1332,Downtown,300.0,2,203,3.08,1,154,55
1333,Kitsilano,189.0,30,24,0.39,1,264,4
1334,Dunbar Southlands,,3,24,0.37,3,0,4
1335,Downtown,150.0,1,108,1.64,1,0,31
1336,Grandview-Woodland,84.0,1,300,4.56,1,110,75
1337,Hastings-Sunrise,52.0,30,41,0.63,8,130,0
1338,Downtown,450.0,2,0,,1,0,0
1339,West End,,2,23,0.35,1,0,0
1340,Mount Pleasant,,3,27,0.41,1,0,0
1341,Kensington-Cedar Cottage,139.0,1,60,3.86,1,0,49
1342,Victoria-Fraserview,94.0,1,104,1.58,1,102,36
1343,West End,293.0,3,226,3.48,1,21,34
1344,Downtown Eastside,154.0,3,97,1.76,1,292,30
1345,Kitsilano,,5,8,0.12,1,0,0
1346,Kitsilano,121.0,2,74,1.13,1,147,17
1347,Kensington-Cedar Cottage,92.0,2,181,2.77,1,0,54
1348,Grandview-Woodland,275.0,5,10,0.19,1,0,0
1349,Riley Park,,1,15,0.23,1,0,0
1350,West End,,6,25,0.38,2,0,0
1351,Downtown,125.0,30,6,0.09,42,285,0
1352,Downtown,301.0,2,8,0.15,1,88,6
1353,Mount Pleasant,76.0,2,120,1.84,3,355,13
1354,Renfrew-Collingwood,,2,0,,1,0,0
1355,Sunset,175.0,30,1,0.07,2,173,0
1356,Mount Pleasant,150.0,2,105,1.62,1,7,31
1357,Downtown,,1,0,,1,0,0
1358,Kensington-Cedar Cottage,,1,0,,1,0,0
1359,Downtown,231.0,30,12,0.2,5,0,0
1360,Downtown Eastside,100.0,1,227,3.49,1,69,37
1361,Downtown,236.0,30,38,0.74,1,18,25
1362,Downtown,,30,30,0.46,1,0,0
1363,Strathcona,108.0,1,264,4.07,1,0,45
1364,West End,90.0,2,19,0.29,2,0,0
1365,Kerrisdale,232.0,2,95,1.68,2,82,20
1366,Downtown,245.0,30,1,0.02,1,0,0
1367,Downtown,250.0,30,2,0.07,42,310,1
1368,Arbutus Ridge,,2,1,0.02,1,0,0
1369,Renfrew-Collingwood,83.0,2,44,0.7,5,0,23
1370,Renfrew-Collingwood,44.0,1,38,0.59,5,12,5
1371,Riley Park,107.0,2,42,0.65,2,201,12
1372,Riley Park,107.0,2,33,0.51,2,200,15
1373,Downtown,,31,1,0.02,38,0,0
1374,Grandview-Woodland,,4,80,1.23,2,0,0
1375,Downtown,,1,2,0.03,1,0,0
1376,Downtown Eastside,,90,0,,1,0,0
1377,West End,,3,7,0.11,2,0,0
1378,Downtown,,2,1,0.02,1,0,0
1379,Downtown,677.0,30,0,,1,226,0
1380,Shaughnessy,216.0,4,82,1.27,1,83,18
1381,Downtown,151.0,4,124,1.92,1,22,8
1382,Riley Park,650.0,6,5,0.09,2,18,0
1383,Renfrew-Collingwood,249.0,1,203,3.19,1,233,33
1384,Grandview-Woodland,,5,0,,1,0,0
1385,Kitsilano,156.0,4,9,0.17,5,0,4
1386,Kensington-Cedar Cottage,114.0,1,356,5.49,1,0,88
1387,Downtown,,30,0,,1,0,0
1388,Sunset,122.0,3,30,0.49,1,161,17
1389,Downtown,,180,21,0.33,2,0,8
1390,Fairview,400.0,3,33,0.51,1,0,0
1391,West End,234.0,30,50,0.78,1,336,1
1392,Downtown Eastside,,1,131,2.08,1,0,0
1393,Riley Park,85.0,30,60,0.93,5,40,10
1394,Riley Park,83.0,30,34,0.53,5,89,0
1395,Downtown Eastside,,2,26,0.4,1,0,0
1396,Mount Pleasant,73.0,2,74,1.15,1,194,14
1397,West End,120.0,2,6,0.09,3,0,0
1398,Kitsilano,460.0,1,64,1.06,3,250,20
1399,West End,,2,5,0.08,3,0,0
1400,Downtown Eastside,162.0,4,165,2.6,1,199,44
1401,Sunset,115.0,2,114,1.97,1,0,28
1402,Riley Park,100.0,30,49,0.78,1,27,7
1403,Sunset,,2,0,,1,0,0
1404,Riley Park,,30,104,1.62,1,0,2
1405,Riley Park,106.0,2,142,2.21,1,7,30
1406,Fairview,,30,0,,1,0,0
1407,Arbutus Ridge,,1,8,0.12,1,0,0
1408,Sunset,160.0,7,11,0.18,2,28,1
1409,Downtown,236.0,4,33,0.61,1,5,3
1410,Downtown,155.0,30,15,0.24,12,141,2
1411,Kitsilano,95.0,30,24,0.4,3,107,6
1412,Renfrew-Collingwood,50.0,1,18,0.29,5,8,2
1413,Marpole,80.0,3,42,0.66,6,66,14
1414,Downtown,203.0,3,4,1.03,1,7,4
1415,Mount Pleasant,128.0,90,13,0.23,3,216,4
1416,Kensington-Cedar Cottage,105.0,3,67,1.05,1,24,21
1417,Killarney,237.0,2,12,0.25,1,0,6
1418,Hastings-Sunrise,140.0,1,43,0.68,3,270,1
1419,Kerrisdale,,4,5,0.08,4,0,0
1420,Downtown Eastside,170.0,5,14,0.23,2,141,3
1421,Downtown,110.0,2,237,3.72,2,0,56
1422,Riley Park,92.0,1,199,3.26,3,312,44
1423,Riley Park,200.0,3,113,1.78,1,7,26
1424,Downtown Eastside,170.0,2,171,2.68,1,161,56
1425,Downtown,95.0,30,12,0.21,42,165,3
1426,Downtown,107.0,30,14,0.29,1,113,3
1427,Grandview-Woodland,94.0,14,3,0.05,3,0,0
1428,Riley Park,140.0,3,194,3.05,1,122,42
1429,Kerrisdale,,4,11,0.17,4,0,0
1430,Grandview-Woodland,147.0,4,211,3.3,1,334,49
1431,Kerrisdale,,3,4,0.07,4,0,0
1432,Grandview-Woodland,,5,0,,1,0,0
1433,Hastings-Sunrise,,30,12,0.22,4,0,1
1434,Kensington-Cedar Cottage,104.0,5,200,3.19,1,22,30
1435,Hastings-Sunrise,264.0,5,25,0.39,1,0,3
1436,Downtown Eastside,115.0,90,4,0.06,1,219,0
1437,Downtown,199.0,30,2,0.03,1,0,0
1438,Downtown,204.0,2,285,4.5,1,212,62
1439,Renfrew-Collingwood,303.0,1,420,6.6,1,303,75
1440,Kitsilano,180.0,30,6,0.27,5,344,2
1441,Downtown,,30,4,0.08,33,0,0
1442,Dunbar Southlands,150.0,30,4,0.06,1,0,0
1443,Oakridge,1294.0,2,126,1.99,1,0,21
1444,Downtown,302.0,2,288,4.54,1,132,54
1445,Grandview-Woodland,103.0,2,249,3.94,1,0,51
1446,Killarney,109.0,6,68,1.1,2,305,9
1447,Kensington-Cedar Cottage,,5,3,0.05,1,0,0
1448,Mount Pleasant,108.0,4,140,2.24,1,73,22
1449,Downtown,179.0,2,136,2.15,1,255,32
1450,Downtown Eastside,151.0,30,54,0.86,1,365,9
1451,Shaughnessy,,1,0,,1,0,0
1452,Renfrew-Collingwood,103.0,1,43,0.68,1,84,15
1453,Marpole,55.0,30,14,0.4,4,71,8
1454,Marpole,45.0,30,3,0.09,4,71,1
1455,Marpole,45.0,30,16,0.28,4,74,5
1456,Downtown Eastside,79.0,2,81,1.3,1,0,0
1457,Shaughnessy,102.0,1,49,0.78,3,0,4
1458,Downtown,69.0,30,148,2.35,6,358,11
1459,Renfrew-Collingwood,239.0,2,13,0.21,5,10,9
1460,Downtown Eastside,96.0,2,156,2.5,1,159,26
1461,Hastings-Sunrise,81.0,1,110,1.77,3,64,14
1462,Downtown,,4,11,0.18,1,0,1
1463,Hastings-Sunrise,79.0,1,109,1.73,3,76,12
1464,Kitsilano,144.0,3,286,4.61,1,150,73
1465,Downtown Eastside,112.0,2,80,2.78,1,0,53
1466,West End,,90,2,0.16,33,0,1
1467,Downtown,,30,2,0.09,33,0,1
1468,Fairview,,3,20,0.33,1,0,6
1469,Downtown,250.0,2,19,0.31,1,0,0
1470,Kensington-Cedar Cottage,,1,97,1.54,1,0,0
1471,Mount Pleasant,158.0,10,91,1.47,1,235,23
1472,Sunset,129.0,2,46,0.75,1,70,15
1473,Downtown,40.0,93,0,,1,90,0
1474,Downtown,131.0,1,224,3.59,1,0,53
1475,Sunset,89.0,2,59,0.95,1,0,0
1476,Downtown,,30,0,,1,0,0
1477,Dunbar Southlands,175.0,1,192,3.08,1,140,26
1478,West Point Grey,300.0,3,54,0.87,1,364,12
1479,Grandview-Woodland,,3,3,0.05,1,0,0
1480,Downtown Eastside,,31,0,,1,0,0
1481,Mount Pleasant,527.0,1,66,1.18,1,101,0
1482,Downtown,89.0,30,12,0.21,6,89,5
1483,Downtown Eastside,,3,21,0.34,1,0,0
1484,Downtown,,30,62,1.03,2,0,0
1485,West End,60.0,30,39,0.75,6,30,9
1486,Riley Park,,2,3,0.05,1,0,0
1487,Downtown,100.0,30,3,0.05,1,0,0
1488,West End,141.0,2,171,2.77,1,9,48
1489,Hastings-Sunrise,104.0,2,55,0.96,1,0,33
1490,Downtown,136.0,2,131,2.58,2,0,46
1491,Kensington-Cedar Cottage,219.0,3,72,1.17,1,2,0
1492,Downtown,158.0,2,64,1.04,1,18,25
1493,West End,200.0,30,0,,1,364,0
1494,Marpole,140.0,2,144,2.52,1,168,34
1495,Downtown,,30,0,,2,0,0
1496,Mount Pleasant,,1,1,0.02,1,0,0
1497,Downtown,704.0,15,0,,30,179,0
1498,Fairview,,31,0,,1,0,0
1499,Downtown,,31,0,,1,0,0
1500,Kitsilano,200.0,15,3,0.05,2,158,0
1501,Riley Park,147.0,5,31,0.51,1,331,8
1502,Downtown,,2,6,0.1,1,0,0
1503,Downtown,110.0,30,15,0.25,1,101,3
1504,Riley Park,156.0,14,11,0.8,1,177,8
1505,Grandview-Woodland,85.0,3,130,2.13,2,223,32
1506,Riley Park,,3,74,1.2,1,0,0
1507,Kensington-Cedar Cottage,218.0,3,119,1.95,1,169,27
1508,Downtown,150.0,2,147,4.79,1,45,70
1509,Kensington-Cedar Cottage,100.0,3,73,1.2,1,164,17
1510,Mount Pleasant,,30,2,0.03,2,0,0
1511,Hastings-Sunrise,75.0,1,108,1.76,1,154,21
1512,Kerrisdale,,5,3,0.05,4,0,0
1513,Dunbar Southlands,91.0,1,28,5.6,1,56,28
1514,Renfrew-Collingwood,406.0,4,119,1.95,1,137,24
1515,West Point Grey,,3,5,0.09,1,0,0
1516,Downtown Eastside,,2,24,0.39,1,0,0
1517,West End,50.0,1,27,0.44,1,0,0
1518,West End,118.0,30,3,0.06,42,199,1
1519,Kensington-Cedar Cottage,130.0,10,40,0.73,1,6,7
1520,Grandview-Woodland,175.0,31,2,0.03,1,177,0
1521,Downtown,104.0,30,12,0.2,1,340,2
1522,Kitsilano,159.0,5,113,1.88,1,230,28
1523,Sunset,,30,0,,1,0,0
1524,Downtown,176.0,2,177,2.94,1,191,46
1525,Grandview-Woodland,175.0,1,101,1.65,1,160,27
1526,Downtown,314.0,3,150,2.56,4,316,16
1527,Fairview,,3,0,,1,0,0
1528,Grandview-Woodland,,2,19,0.74,1,0,0
1529,Sunset,335.0,2,7,0.12,2,25,2
1530,Sunset,594.0,3,38,0.69,2,93,11
1531,Kitsilano,228.0,30,8,0.14,2,235,0
1532,Grandview-Woodland,,3,12,0.2,2,0,0
1533,Kitsilano,,30,0,,1,0,0
1534,Fairview,232.0,3,6,0.1,1,0,0
1535,Killarney,384.0,3,123,2.04,1,153,22
1536,Renfrew-Collingwood,,4,40,0.66,1,0,0
1537,Fairview,,3,18,0.3,1,0,0
1538,Fairview,142.0,30,11,0.18,30,0,1
1539,Downtown,,2,82,1.35,1,0,0
1540,Downtown,,30,0,,1,0,0
1541,Downtown,1026.0,2,32,0.53,2,0,5
1542,Downtown,194.0,60,0,,5,124,0
1543,Downtown,199.0,30,0,,1,363,0
1544,Fairview,100.0,30,11,0.21,30,244,0
1545,Mount Pleasant,42.0,31,0,,1,0,0
1546,Mount Pleasant,125.0,2,0,,3,0,0
1547,Dunbar Southlands,267.0,1,4,0.07,1,364,1
1548,Downtown,165.0,30,11,0.21,12,233,1
1549,Downtown Eastside,186.0,3,78,1.29,1,232,18
1550,Downtown,,3,3,0.06,1,0,0
1551,Kitsilano,,1,60,1.01,1,0,0
1552,West End,124.0,31,3,0.09,19,161,0
1553,Arbutus Ridge,124.0,30,1,0.02,8,322,0
1554,Dunbar Southlands,102.0,1,109,6.24,1,315,73
1555,Hastings-Sunrise,65.0,30,12,0.23,1,94,4
1556,Hastings-Sunrise,79.0,1,105,5.4,1,0,52
1557,Downtown,,2,23,3.18,1,0,23
1558,West End,58.0,30,19,0.32,6,30,3
1559,Grandview-Woodland,,4,0,,1,0,0
1560,Downtown,108.0,180,1,0.08,13,365,0
1561,Arbutus Ridge,117.0,30,0,,8,321,0
1562,Arbutus Ridge,120.0,30,0,,8,322,0
1563,Arbutus Ridge,239.0,30,58,0.96,8,323,1
1564,Riley Park,,5,5,0.09,1,0,0
1565,West End,118.0,30,9,0.17,2,340,2
1566,Kensington-Cedar Cottage,,3,26,0.44,2,0,7
1567,Renfrew-Collingwood,100.0,30,43,0.77,2,17,1
1568,Kensington-Cedar Cottage,,1,70,1.18,2,0,0
1569,Kitsilano,,30,0,,1,0,0
1570,Mount Pleasant,123.0,4,68,1.15,1,44,28
1571,Arbutus Ridge,67.0,2,183,3.06,2,140,50
1572,Downtown,240.0,30,45,0.87,41,341,5
1573,Downtown,290.0,1,188,3.4,41,354,27
1574,Downtown,260.0,30,36,0.61,41,365,0
1575,Downtown,313.0,1,76,1.35,41,356,8
1576,Downtown,260.0,30,23,0.41,41,365,1
1577,Renfrew-Collingwood,95.0,90,3,0.06,1,286,0
1578,Downtown Eastside,287.0,2,62,1.13,1,0,25
1579,Downtown,175.0,2,4,0.07,1,0,0
1580,Kensington-Cedar Cottage,100.0,30,22,0.37,4,280,2
1581,West Point Grey,,2,5,0.08,1,0,0
1582,Mount Pleasant,,5,4,0.07,1,0,0
1583,Downtown,210.0,30,0,,1,363,0
1584,Grandview-Woodland,,2,140,2.53,1,0,36
1585,Kitsilano,293.0,30,122,2.1,3,245,29
1586,Downtown,264.0,3,181,3.06,1,11,45
1587,West End,125.0,30,11,0.28,37,236,3
1588,West End,125.0,30,15,0.38,37,237,4
1589,West End,259.0,1,44,0.76,1,110,10
1590,Downtown,170.0,30,5,0.1,42,167,2
1591,Dunbar Southlands,266.0,2,36,0.62,1,164,7
1592,Riley Park,,5,1,0.02,1,0,0
1593,Downtown,106.0,3,68,1.17,1,54,52
1594,Downtown,160.0,30,138,2.38,1,253,2
1595,Grandview-Woodland,43.0,1,108,1.84,1,0,0
1596,Riley Park,82.0,5,64,1.09,1,130,38
1597,Oakridge,1359.0,2,91,1.61,9,354,33
1598,Mount Pleasant,,3,1,0.02,1,0,0
1599,Arbutus Ridge,62.0,3,153,2.63,2,61,47
1600,Downtown,83.0,30,0,,2,0,0
1601,Downtown,500.0,60,35,0.6,1,125,0
1602,West End,,30,102,1.72,1,0,4
1603,Grandview-Woodland,100.0,1,45,0.77,3,168,12
1604,West End,,30,64,1.09,4,0,5
1605,Downtown,150.0,2,41,0.82,1,0,9
1606,Riley Park,81.0,1,139,3.38,3,310,48
1607,Downtown,49.0,30,10,0.2,6,271,2
1608,Downtown,,1,0,,1,0,0
1609,Fairview,202.0,3,148,2.52,1,129,30
1610,Riley Park,113.0,30,15,0.28,1,325,5
1611,South Cambie,125.0,2,174,3.02,1,1,57
1612,Downtown,157.0,4,127,2.34,1,25,40
1613,Kitsilano,100.0,30,24,0.44,1,68,6
1614,Downtown,120.0,1,254,4.37,1,0,74
1615,Kensington-Cedar Cottage,40.0,60,0,,1,286,0
1616,Dunbar Southlands,185.0,5,52,0.92,1,63,4
1617,Fairview,140.0,30,49,0.85,4,365,3
1618,Dunbar Southlands,,1,24,0.43,1,0,17
1619,Downtown,230.0,31,0,,38,20,0
1620,Hastings-Sunrise,68.0,20,46,0.79,1,35,10
1621,Hastings-Sunrise,91.0,2,92,5.43,1,88,72
1622,Downtown Eastside,105.0,30,58,0.99,2,275,4
1623,Grandview-Woodland,175.0,3,19,0.34,1,0,0
1624,Riley Park,169.0,7,133,2.32,1,0,32
1625,Downtown Eastside,200.0,4,10,0.34,3,365,1
1626,Shaughnessy,128.0,1,18,0.67,3,135,9
1627,Kensington-Cedar Cottage,,1,44,0.76,1,0,0
1628,Kensington-Cedar Cottage,250.0,5,7,0.13,1,0,0
1629,Kitsilano,122.0,1,306,5.3,1,67,73
1630,Kensington-Cedar Cottage,,4,3,0.05,1,0,0
1631,West End,110.0,30,18,0.44,37,237,5
1632,Strathcona,201.0,2,26,0.45,1,348,1
1633,Kitsilano,110.0,2,18,0.31,1,8,2
1634,Hastings-Sunrise,213.0,2,97,1.72,1,131,30
1635,Downtown,163.0,1,10,0.17,1,365,1
1636,Sunset,155.0,31,12,0.22,3,278,1
1637,South Cambie,58.0,30,9,0.19,1,40,4
1638,Downtown,500.0,3,65,1.14,42,356,13
1639,Kitsilano,452.0,2,87,1.5,1,236,35
1640,Downtown,818.0,30,26,0.45,1,178,0
1641,West End,125.0,30,8,0.14,37,265,1
1642,Riley Park,90.0,7,29,0.51,5,145,11
1643,Kitsilano,,2,58,1.0,1,0,0
1644,West End,125.0,30,11,0.2,37,189,5
1645,Dunbar Southlands,108.0,1,6,0.8,3,106,6
1646,West End,152.0,30,1,0.2,1,0,1
1647,Kerrisdale,110.0,2,80,1.49,1,161,19
1648,Marpole,,3,19,0.33,2,0,0
1649,Marpole,,4,24,0.42,2,0,0
1650,Renfrew-Collingwood,499.0,1,106,1.83,1,103,0
1651,Downtown,227.0,1,174,3.02,1,3,77
1652,South Cambie,119.0,30,81,1.43,1,177,16
1653,Arbutus Ridge,60.0,14,20,0.35,2,71,5
1654,Downtown,,4,3,0.05,1,0,0
1655,Riley Park,249.0,1,177,3.08,2,91,49
1656,Grandview-Woodland,101.0,2,193,3.38,2,40,51
1657,Victoria-Fraserview,102.0,2,160,2.8,1,0,41
1658,Kitsilano,,2,7,0.33,1,0,1
1659,West End,,30,0,,1,0,0
1660,Marpole,52.0,1,92,1.64,1,64,43
1661,Downtown Eastside,143.0,28,29,0.5,1,326,4
1662,Arbutus Ridge,115.0,4,143,2.5,1,153,30
1663,Downtown,188.0,2,4,1.67,1,0,4
1664,Mount Pleasant,145.0,30,0,,1,178,0
1665,West Point Grey,214.0,60,20,0.37,1,90,0
1666,Downtown,287.0,2,205,3.63,1,71,37
1667,Arbutus Ridge,400.0,3,48,0.88,1,3,20
1668,Sunset,65.0,6,81,1.43,2,45,10
1669,Downtown,,4,46,0.81,1,0,13
1670,Downtown Eastside,104.0,2,232,4.06,1,168,67
1671,Downtown,199.0,31,5,0.13,2,365,0
1672,Kensington-Cedar Cottage,,1,52,0.91,1,0,0
1673,West End,319.0,30,2,0.04,1,179,0
1674,Kensington-Cedar Cottage,,2,2,0.04,1,0,0
1675,Marpole,230.0,2,25,0.44,1,0,0
1676,Kerrisdale,84.0,1,279,4.92,1,0,65
1677,West End,160.0,4,60,1.09,1,0,16
1678,Downtown,800.0,1,0,,1,0,0
1679,Killarney,131.0,10,47,0.84,2,344,5
1680,Hastings-Sunrise,300.0,4,30,0.56,1,101,7
1681,Downtown Eastside,66.0,2,263,4.62,1,34,80
1682,Dunbar Southlands,,5,3,0.05,1,0,0
1683,Sunset,65.0,6,67,1.2,2,106,1
1684,Downtown,110.0,30,15,0.27,4,365,4
1685,Kitsilano,175.0,7,24,0.43,1,1,0
1686,Arbutus Ridge,,100,0,,1,0,0
1687,West End,125.0,30,10,0.19,37,263,2
1688,West End,125.0,30,15,0.37,37,77,2
1689,Kitsilano,357.0,365,11,0.2,2,88,0
1690,Kensington-Cedar Cottage,,3,3,0.06,1,0,0
1691,Downtown,119.0,60,3,0.09,1,34,0
1692,Downtown,220.0,30,0,,1,275,0
1693,Downtown Eastside,150.0,90,1,0.09,1,192,1
1694,Kitsilano,,4,7,0.13,2,0,0
1695,Hastings-Sunrise,45.0,1,102,1.81,1,226,2
1696,Mount Pleasant,179.0,5,30,0.53,2,24,4
1697,Dunbar Southlands,614.0,4,12,0.21,1,162,5
1698,Riley Park,141.0,30,24,0.43,2,214,2
1699,Mount Pleasant,204.0,28,58,1.02,1,172,2
1700,Kensington-Cedar Cottage,77.0,1,160,2.88,1,0,97
1701,Downtown,200.0,30,39,0.73,1,40,5
1702,Riley Park,,1,9,0.16,2,0,0
1703,Fairview,220.0,5,17,0.3,1,30,3
1704,Mount Pleasant,100.0,1,18,0.33,2,9,8
1705,Downtown,249.0,2,185,3.42,1,26,75
1706,Hastings-Sunrise,,1,47,0.84,1,0,0
1707,Hastings-Sunrise,94.0,1,201,3.56,1,0,52
1708,Renfrew-Collingwood,92.0,1,157,2.78,1,164,55
1709,Grandview-Woodland,70.0,2,193,3.43,1,19,39
1710,Dunbar Southlands,129.0,1,130,2.3,3,10,23
1711,West End,365.0,5,6,0.11,30,172,0
1712,Grandview-Woodland,,3,115,2.03,1,0,26
1713,Kitsilano,99.0,1,238,4.26,2,16,60
1714,Dunbar Southlands,119.0,1,94,1.68,3,90,16
1715,Kerrisdale,2121.0,10,2,0.05,2,160,1
1716,Downtown,152.0,30,17,0.36,2,0,1
1717,Kensington-Cedar Cottage,127.0,1,191,3.39,3,169,49
1718,Mount Pleasant,220.0,2,23,0.41,1,173,0
1719,West Point Grey,103.0,2,159,2.98,1,17,54
1720,Mount Pleasant,189.0,3,55,0.99,1,0,17
1721,Grandview-Woodland,82.0,3,128,2.35,1,0,36
1722,Killarney,59.0,2,81,1.45,2,167,33
1723,Kensington-Cedar Cottage,52.0,30,9,0.17,2,359,3
1724,Dunbar Southlands,83.0,1,327,5.8,1,154,104
1725,Sunset,120.0,2,125,2.25,1,178,40
1726,Kitsilano,,5,12,0.22,1,0,0
