,price,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm
5422,314.0,1,2,0.44,6,198,2
5423,48.0,30,0,,7,290,0
5424,61.0,30,2,0.42,7,270,2
5425,43.0,30,0,,7,361,0
5426,179.0,1,26,4.7,1,0,26
5427,339.0,3,22,4.37,1,167,22
5428,62.0,2,16,2.82,6,263,16
5429,65.0,2,12,2.65,6,256,12
5430,125.0,2,13,2.52,1,33,13
5431,107.0,30,0,,3,237,0
5432,117.0,30,0,,3,180,0
5433,216.0,1,18,4.15,2,307,18
5434,250.0,1,7,1.27,1,347,7
5435,179.0,2,7,1.27,2,0,7
5436,550.0,2,11,2.01,1,11,11
5437,220.0,2,12,2.86,3,66,12
5438,699.0,1,10,1.88,2,0,10
5439,160.0,30,2,0.7,2,52,2
5440,53.0,1,17,3.21,4,269,17
5441,97.0,30,0,,1,89,0
5442,71.0,1,25,4.66,4,255,25
5443,201.0,1,4,0.78,4,255,4
5444,212.0,30,0,,1,71,0
5445,,3,0,,1,0,0
5446,125.0,30,1,0.22,37,88,1
5447,136.0,2,27,4.94,1,168,27
5448,1600.0,15,1,0.26,3,269,1
5449,999.0,1,0,,3,364,0
5450,150.0,31,0,,3,364,0
5451,82.0,1,20,3.68,4,127,20
5452,210.0,3,7,1.83,1,10,7
5453,607.0,2,1,0.37,1,129,1
5454,118.0,1,36,6.67,1,44,36
5455,264.0,3,22,4.18,21,268,22
5456,293.0,30,2,0.47,1,147,2
5457,127.0,30,2,0.5,1,158,2
5458,185.0,3,29,5.47,1,145,29
5459,175.0,2,16,3.45,1,269,16
5460,320.0,1,2,0.42,6,155,2
5461,337.0,2,2,0.73,2,156,2
5462,,2,5,1.01,2,0,5
5463,100.0,30,1,0.33,1,160,1
5464,135.0,2,1,0.59,1,169,1
5465,,4,0,,1,0,0
5466,123.0,2,13,2.77,3,41,13
5467,175.0,2,4,1.17,1,0,4
5468,94.0,30,1,0.26,2,89,1
5469,160.0,30,3,0.66,1,33,3
5470,58.0,2,0,,1,69,0
5471,220.0,1,23,4.51,2,0,23
5472,143.0,3,20,3.95,1,83,20
5473,150.0,30,1,0.29,1,365,1
5474,177.0,2,34,6.54,1,318,34
5475,129.0,30,25,4.75,1,91,25
5476,156.0,3,22,4.85,1,17,22
5477,89.0,1,34,6.26,1,88,34
5478,101.0,4,17,3.78,2,0,17
5479,8194.0,30,0,,4,362,0
5480,70.0,3,6,1.38,4,331,6
5481,85.0,30,2,0.57,1,251,2
5482,150.0,30,0,,4,93,0
5483,93.0,1,4,0.79,1,180,4
5484,85.0,1,16,3.02,43,129,16
5485,156.0,3,16,3.2,4,163,16
5486,540.0,5,0,,30,239,0
5487,218.0,1,9,2.13,2,0,9
5488,289.0,3,0,,1,362,0
5489,226.0,30,1,0.23,1,52,1
5490,65.0,30,0,,8,130,0
5491,100.0,30,1,0.56,3,339,1
5492,176.0,2,2,0.39,1,198,2
5493,350.0,3,9,1.84,1,83,9
5494,550.0,2,10,2.14,1,197,10
5495,228.0,1,0,,1,269,0
5496,,2,0,,1,72,0
5497,150.0,30,1,0.32,26,356,1
5498,102.0,30,2,0.47,26,327,2
5499,134.0,30,1,0.29,1,131,1
5500,179.0,1,17,6.07,1,0,17
5501,200.0,3,9,2.25,1,83,9
5502,153.0,1,19,3.68,1,288,19
5503,350.0,1,20,4.41,1,235,20
5504,515.0,2,3,1.25,4,283,3
5505,153.0,2,26,5.95,2,0,26
5506,575.0,5,4,0.93,1,48,4
5507,,30,0,,1,0,0
5508,103.0,1,16,3.5,1,119,16
5509,,30,0,,1,0,0
5510,110.0,30,2,0.58,1,329,2
5511,325.0,30,0,,1,179,0
5512,1480.0,30,0,,1,270,0
5513,106.0,2,23,5.0,1,77,23
5514,271.0,28,4,1.01,6,249,4
5515,55.0,30,0,,20,173,0
5516,160.0,30,0,,3,339,0
5517,100.0,1,0,,1,350,0
5518,110.0,3,0,,1,285,0
5519,190.0,93,0,,2,0,0
5520,300.0,2,6,1.18,1,145,6
5521,148.0,1,1,0.2,6,3,1
5522,76.0,2,28,5.6,1,73,28
5523,157.0,1,3,0.6,3,117,3
5524,162.0,1,1,0.91,3,267,1
5525,112.0,1,1,0.2,3,272,1
5526,119.0,2,9,1.8,1,172,9
5527,166.0,1,19,4.79,2,0,19
5528,,1,4,0.75,2,0,4
5529,121.0,1,4,0.77,1,244,4
5530,309.0,2,18,3.72,1,44,18
5531,200.0,1,5,0.99,1,364,5
5532,135.0,1,12,3.46,1,160,12
5533,569.0,2,5,1.04,2,179,5
5534,,1,8,1.58,2,0,8
5535,145.0,30,1,1.0,37,207,1
5536,218.0,3,4,1.03,1,18,4
5537,,30,0,,1,365,0
5538,122.0,2,2,0.73,2,364,2
5539,189.0,3,18,3.8,21,0,18
5540,175.0,2,9,1.75,1,161,9
5541,164.0,2,21,4.34,1,0,21
5542,125.0,1,5,1.05,6,30,5
